date,n_eligible,n_selected,n_orders,turnover_dollars,leverage_multiplier,equity_at_open
2023-01-03,497,50,49,91834.87448999997,1.0,100000.0
2023-02-01,497,50,52,55232.19042999998,1.0,102990.63551000002
2023-03-01,499,50,48,58910.33193500001,1.0,100870.4993
2023-04-03,499,50,53,66529.095905,1.0,100990.593995
2023-05-01,500,50,59,75540.7569145,1.0,102321.36936500002
2023-06-01,500,50,57,73558.18194749998,1.0,103335.71039050005
2023-07-03,501,50,51,62348.052115,1.0,111148.55505800004
2023-08-01,501,50,46,58043.84707249999,1.0,114333.26168300005
2023-09-01,501,50,50,64619.098869999994,1.0,111496.70424550005
2023-10-02,501,50,42,51728.836115000006,1.0,104730.47485550008
2023-11-01,501,50,43,51687.287055000015,1.0,100359.78074050002
2023-12-01,501,50,41,56299.6333825,1.0,112733.12690550006
2024-01-02,502,50,39,58035.852196299995,1.0,118744.0521080001
2024-02-01,502,50,37,54193.25439000002,1.0,123448.27104930005
2024-03-01,502,50,40,48592.28481999999,1.0,138194.7047493001
2024-04-01,502,50,50,84653.51298000003,1.0,144551.6788593001
2024-05-01,502,50,40,42786.4296525,1.0,137890.85103930012
2024-06-03,503,50,52,93228.00919249999,1.0,144856.64402180008
